Name,DIST,Z
SUB3,3781.076477,409
SUB3,3809.360749,409
SUB3,3837.64502,409
SUB3,3857.64502,407
SUB3,3885.929291,407
SUB3,3905.929291,408
SUB3,3934.213562,408
SUB3,3954.213562,409
SUB3,3982.497834,409
SUB3,4002.497834,410
SUB3,4030.782105,410
SUB3,4059.066376,408
SUB3,4079.066376,406
SUB3,4107.350647,404
SUB3,4135.634919,404
SUB3,4155.634919,407
SUB3,4183.91919,407
SUB3,4203.91919,407
SUB3,4232.203461,406
SUB3,4252.203461,406
SUB3,4272.203461,405
SUB3,4300.487732,405
SUB3,4320.487732,404
SUB3,4340.487732,403
SUB3,4368.772004,403
SUB3,4397.056275,404
SUB3,4425.340546,405
SUB3,4453.624817,405
SUB3,4481.909089,403
SUB3,4501.909089,400
SUB3,4521.909089,399
SUB3,4541.909089,399
SUB3,4561.909089,399
SUB3,4581.909089,399
SUB3,4601.909089,399
SUB3,4621.909089,399
SUB3,4641.909089,398
SUB3,4670.19336,399
SUB3,4690.19336,398
SUB3,4710.19336,397
SUB3,4738.477631,399
SUB3,4766.761902,398
SUB3,4795.046174,399
SUB3,4823.330445,399
SUB3,4851.614716,397
SUB3,4879.898987,397
SUB3,4899.898987,396
SUB7,0,667.8269653
SUB7,20,665.168335
SUB7,40,665
SUB7,68.28427125,665
SUB7,88.28427125,665
SUB7,116.5685425,664.1931152
SUB7,144.8528137,659.0582886
SUB7,164.8528137,654.4168091
SUB7,184.8528137,648.6630859
SUB7,213.137085,635.789917
SUB7,241.4213562,623.0962524
SUB7,269.7056275,614.0963745
SUB7,297.9898987,606.2124634
SUB7,326.27417,599.4058838
SUB7,354.5584412,590.3086548
SUB7,382.8427125,581.8056641
SUB7,411.1269837,576.3036499
SUB7,431.1269837,567.6796265
SUB7,459.411255,561.4506226
SUB7,479.411255,557.2718506
SUB7,507.6955262,555
SUB7,527.6955262,555
SUB7,555.9797975,555
SUB7,584.2640687,555
SUB7,604.2640687,555
SUB7,632.54834,555
SUB7,652.54834,555
SUB7,680.8326112,555
SUB7,709.1168825,555
SUB7,737.4011537,554.6969605
SUB7,765.685425,547.9432373
SUB7,785.685425,545.1585083
SUB7,813.9696962,545
SUB7,842.2539674,544.8435059
SUB7,870.5382387,541.8341675
SUB7,898.8225099,538.6141357
SUB7,927.1067812,535.4839478
SUB7,955.3910524,535
SUB7,983.6753237,535
SUB7,1011.959595,535
SUB7,1040.243866,535
SUB7,1060.243866,535
SUB7,1080.243866,535
SUB7,1100.243866,535
SUB7,1128.528137,535
SUB7,1148.528137,535
SUB7,1168.528137,535
SUB7,1188.528137,535
SUB7,1208.528137,535
SUB7,1228.528137,535
SUB7,1248.528137,535
SUB7,1268.528137,534.187439
SUB7,1296.812409,530.1017456
SUB7,1316.812409,526.3589478
SUB7,1336.812409,525.0491943
SUB7,1356.812409,525
SUB7,1376.812409,525
SUB7,1396.812409,525
SUB7,1416.812409,525
SUB7,1436.812409,525
SUB7,1456.812409,525
SUB7,1485.09668,525
SUB7,1505.09668,525
SUB7,1525.09668,525
SUB7,1553.380951,525
SUB7,1581.665222,525
SUB7,1609.949494,525
SUB7,1638.233765,525
SUB7,1658.233765,525
SUB7,1686.518036,525
SUB7,1714.802307,525
SUB7,1743.086579,525
SUB7,1763.086579,525
SUB7,1783.086579,525
SUB7,1811.37085,525
SUB7,1839.655121,525
SUB7,1867.939392,525
SUB7,1896.223664,524.9143066
SUB7,1916.223664,522.8269653
SUB7,1936.223664,519.8981934
SUB7,1956.223664,516.9782715
SUB7,1976.223664,515.4240112
SUB7,2004.507935,515
SUB7,2032.792206,515.0703125
SUB7,2061.076477,515
SUB7,2089.360749,515.0178833
SUB7,2109.360749,515
SUB7,2129.360749,515
SUB7,2157.64502,515
SUB7,2185.929291,515
SUB7,2205.929291,515
SUB7,2234.213562,515
SUB7,2262.497834,515
SUB7,2290.782105,515
SUB7,2319.066376,515
SUB7,2347.350647,515
SUB7,2367.350647,515
SUB7,2387.350647,515
SUB7,2407.350647,515
SUB7,2427.350647,515
SUB7,2455.634919,515
SUB7,2483.91919,514.5888672
SUB7,2512.203461,510.059082
SUB7,2532.203461,505.2085266
SUB7,2552.203461,505.0104065
SUB7,2572.203461,505.2171936
SUB7,2600.487732,505
SUB7,2620.487732,505
SUB7,2640.487732,505
